Country,Cost of Living Index_cost_of_living_index,Rent Index_cost_of_living_index,Groceries Index_cost_of_living_index,Restaurant Price Index_cost_of_living_index,Crime Index_crime_index,Safety Index_crime_index,Health Care Index_health_care_index,Pollution Index_pollution_index,Quality of Life Index_quality_of_life_index,Climate Index_quality_of_life_index,Traffic Index_traffic_index,Time Index(in minutes)_traffic_index,Inefficiency Index_traffic_index,CO2Emission Index_traffic_index
Us Virgin Islands,98.4,46.4,106.3,90.5,59.9,40.1,nan,nan,nan,nan,nan,nan,nan,nan
Switzerland,98.4,45.2,103.1,98.4,26.5,73.5,71.5,23.1,205.0,79.2,117.8,33.0,170.2,2901.8
Iceland,83.4,43.7,90.3,94.7,25.7,74.3,67.6,16.0,202.0,68.8,93.1,21.4,91.5,3312.0
Bahamas,81.4,46.9,79.1,94.5,56.9,43.1,nan,nan,nan,nan,nan,nan,nan,nan
Singapore,79.1,67.0,70.8,53.5,22.6,77.4,71.8,32.6,152.8,57.5,144.9,40.7,143.9,2438.0
Hong Kong (China),73.6,55.7,75.9,49.7,21.5,78.5,66.1,66.5,134.0,83.6,141.5,41.8,148.4,1660.4
Barbados,70.0,20.1,78.1,70.3,44.9,55.1,nan,nan,nan,nan,nan,nan,nan,nan
Norway,69.0,24.8,71.9,74.6,33.0,67.0,75.6,18.3,195.0,68.5,92.6,26.4,121.1,2482.9
Papua New Guinea,67.4,36.6,51.9,37.9,80.3,19.7,nan,nan,nan,nan,nan,nan,nan,nan
Denmark,66.9,25.7,61.0,80.8,26.0,74.0,78.4,20.6,209.9,82.5,85.6,27.8,117.9,1621.5
Guernsey,66.1,45.7,70.5,65.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Israel,65.2,27.1,61.2,74.5,31.8,68.2,73.2,56.8,163.6,93.8,154.4,36.5,166.9,5863.6
United States,64.9,40.9,71.7,69.3,49.2,50.8,67.8,36.7,188.8,78.5,151.1,32.9,234.2,7302.8
Luxembourg,64.8,42.2,65.3,72.8,34.2,65.8,75.2,23.3,220.1,82.6,105.8,27.0,123.7,3825.9
Australia,60.9,29.8,67.9,59.2,47.3,52.7,73.4,26.8,192.2,93.8,163.0,37.4,237.8,6245.1
Austria,60.7,22.0,62.2,59.7,29.5,70.5,77.9,20.9,192.9,77.8,77.6,23.8,76.8,1611.2
Netherlands,60.5,32.1,56.8,67.7,26.9,73.1,79.3,21.6,211.3,87.2,84.1,23.5,137.4,1941.5
Ireland,59.8,39.0,56.9,65.8,47.6,52.4,51.5,35.0,166.5,87.8,149.3,37.7,172.7,4364.7
United Kingdom,59.2,30.0,54.8,65.3,48.3,51.7,72.7,40.7,174.5,87.2,134.2,34.7,157.4,4112.9
Puerto Rico,58.7,19.9,63.1,53.4,61.5,38.5,58.5,47.9,nan,nan,151.0,32.6,161.5,7896.3
Finland,58.7,19.1,59.4,64.7,26.8,73.2,77.5,11.8,203.8,58.6,78.3,25.5,70.5,1553.8
Canada,58.7,30.3,65.3,59.9,45.7,54.3,68.7,29.8,166.4,57.8,139.4,33.5,182.1,5381.0
Germany,58.4,22.4,56.7,57.5,39.4,60.6,71.9,28.9,190.2,82.9,99.7,29.7,119.7,2419.4
France,58.0,19.4,63.6,56.1,55.4,44.6,77.7,43.5,166.3,90.2,126.8,34.5,138.2,3403.2
Macao (China),56.8,29.4,68.2,40.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
South Korea,56.5,15.1,74.5,32.8,24.9,75.1,82.8,60.9,147.7,68.4,148.4,40.3,171.8,2878.9
Belgium,56.5,19.3,54.6,67.1,49.4,50.6,75.9,49.2,169.3,86.0,137.0,34.8,178.5,4332.3
New Zealand,55.3,23.4,62.2,53.8,48.2,51.8,68.4,26.1,192.5,95.5,135.4,32.2,186.3,5434.8
Sweden,54.2,19.1,55.5,56.0,48.0,52.0,68.3,17.6,193.2,76.5,94.9,28.7,128.8,2183.7
United Arab Emirates,54.1,39.7,42.4,59.9,15.5,84.5,70.6,48.1,177.0,45.8,166.3,35.7,253.9,7889.9
Italy,51.0,17.7,53.5,53.0,46.9,53.1,65.1,53.5,151.0,90.2,125.3,32.4,151.4,4121.7
Jamaica,50.3,17.7,59.6,42.8,67.4,32.6,nan,66.3,nan,nan,nan,nan,nan,nan
Costa Rica,50.1,18.5,56.2,47.8,54.1,45.9,64.3,42.0,129.4,99.5,301.0,60.0,317.8,9516.5
Cyprus,49.5,24.0,47.0,52.7,33.1,66.9,57.1,55.3,158.5,92.2,107.2,23.6,140.8,4476.8
Estonia,49.4,14.1,45.1,54.0,23.7,76.3,75.5,17.0,185.7,64.3,75.8,21.5,81.9,1654.8
Trinidad And Tobago,48.9,13.7,54.1,45.2,70.9,29.1,54.3,67.1,nan,nan,nan,nan,nan,nan
Yemen,48.4,5.9,61.5,33.9,63.7,36.3,nan,nan,nan,nan,nan,nan,nan,nan
Bahrain,48.3,20.4,46.2,47.6,24.5,75.5,nan,71.6,nan,nan,nan,nan,nan,nan
Malta,48.0,23.3,48.1,55.1,43.0,57.0,52.5,75.5,132.7,97.4,95.4,28.1,105.0,2508.8
Qatar,47.5,34.4,42.2,46.4,15.8,84.2,73.4,60.0,193.3,36.0,134.9,29.0,147.2,7269.8
Greece,46.5,11.8,44.4,51.1,46.4,53.6,58.5,49.4,138.1,91.8,128.1,32.8,141.2,4385.4
Uruguay,46.3,12.5,46.5,49.5,52.0,48.0,68.6,43.5,139.8,98.0,150.7,39.5,163.3,3590.9
Slovenia,46.2,18.9,45.8,43.9,23.8,76.2,66.1,22.2,179.3,76.1,96.8,25.2,133.0,3036.9
Japan,45.6,14.1,54.5,29.4,22.9,77.1,80.0,38.5,185.2,85.3,143.7,40.7,182.7,2175.7
Maldives,45.3,22.0,50.5,34.1,54.1,45.9,nan,nan,nan,nan,nan,nan,nan,nan
Brunei,44.4,15.2,64.6,29.5,29.3,70.7,nan,nan,nan,nan,nan,nan,nan,nan
Taiwan,44.4,13.1,58.0,25.5,17.1,82.9,86.5,64.2,160.7,84.4,120.4,32.7,133.3,3509.9
Lithuania,44.0,14.4,40.1,49.1,32.4,67.6,75.0,26.3,173.0,67.8,84.2,23.6,72.1,2229.5
Panama,43.9,22.5,49.6,41.9,42.7,57.3,60.7,55.6,124.4,67.8,156.4,35.2,179.4,6953.3
Spain,43.5,21.2,43.0,46.1,36.6,63.4,77.3,35.7,184.4,93.6,96.5,26.8,118.7,2837.0
Latvia,43.4,10.0,40.6,43.2,37.1,62.9,62.4,30.3,164.7,74.7,103.0,28.7,112.6,3100.2
Croatia,43.2,14.5,40.9,46.8,25.5,74.5,64.7,31.2,174.6,89.2,92.6,25.3,91.2,2776.5
Ethiopia,43.2,15.7,46.5,22.8,50.7,49.3,nan,73.2,nan,nan,nan,nan,nan,nan
Czech Republic,42.6,17.6,41.0,35.3,26.5,73.5,75.5,34.6,174.8,80.1,88.2,28.9,71.7,1798.7
Slovakia,42.1,14.1,43.1,35.7,31.0,69.0,58.4,37.1,157.6,78.1,99.1,27.5,155.2,2808.6
Saudi Arabia,41.9,11.5,40.2,33.9,23.9,76.1,61.8,62.5,177.0,55.3,139.8,29.9,183.5,7409.9
Belize,41.4,11.6,46.7,34.7,52.7,47.3,nan,nan,nan,nan,nan,nan,nan,nan
Portugal,41.2,22.2,40.5,38.4,32.1,67.9,72.2,28.8,167.8,97.3,106.8,28.5,118.2,3582.8
Cuba,40.8,11.6,41.1,26.6,34.4,65.6,nan,nan,nan,nan,nan,nan,nan,nan
Kuwait,40.4,21.9,33.7,40.8,32.8,67.2,58.4,69.4,160.6,20.2,165.0,35.3,209.4,8220.7
Albania,39.9,11.7,40.4,38.2,44.7,55.3,48.2,77.0,104.3,86.4,114.7,36.7,105.7,1492.0
Oman,39.8,12.0,38.9,38.4,18.3,81.7,65.1,35.6,208.9,67.2,118.9,22.1,278.9,5687.2
Armenia,39.6,17.6,34.5,42.3,22.1,77.9,59.0,62.3,119.7,63.4,99.6,29.3,82.4,2716.0
Palestine,39.5,7.8,41.0,32.8,42.8,57.2,nan,nan,nan,nan,nan,nan,nan,nan
Botswana,39.5,5.6,28.1,24.9,52.7,47.3,nan,nan,nan,nan,nan,nan,nan,nan
Mozambique,38.9,13.2,33.6,37.1,60.1,39.9,nan,nan,nan,nan,nan,nan,nan,nan
Poland,38.9,16.1,34.7,39.5,29.0,71.0,58.0,55.4,153.9,75.9,114.2,31.9,111.1,3246.3
Lebanon,38.8,13.6,31.2,40.9,46.8,53.2,63.7,89.4,100.1,94.7,185.9,38.7,216.9,9332.8
Ivory Coast,38.8,14.5,34.6,32.2,56.4,43.6,nan,nan,nan,nan,nan,nan,nan,nan
Somalia,38.7,3.5,30.7,23.3,63.9,36.1,nan,nan,nan,nan,nan,nan,nan,nan
El Salvador,37.9,15.6,42.8,32.4,58.6,41.4,nan,nan,nan,nan,nan,nan,nan,nan
Jordan,37.2,7.7,35.3,37.2,40.0,60.0,65.2,77.1,125.0,89.0,180.7,39.4,203.2,7939.8
Guatemala,36.8,12.6,41.7,34.8,57.7,42.3,67.3,73.5,nan,nan,nan,nan,nan,nan
Hungary,36.6,11.1,35.4,36.2,33.7,66.3,54.3,46.5,144.6,78.7,125.6,35.6,130.8,2817.3
Montenegro,36.3,14.9,34.7,37.7,35.4,64.6,nan,43.7,nan,nan,nan,nan,nan,nan
Cameroon,36.2,17.2,34.7,42.2,65.5,34.5,nan,93.7,nan,nan,nan,nan,nan,nan
Serbia,35.9,12.2,34.1,35.5,37.2,62.8,52.1,65.8,124.8,83.2,108.7,30.7,117.7,3049.3
Venezuela,35.9,5.8,39.5,39.9,80.7,19.3,38.7,75.1,79.7,99.9,141.6,32.8,191.0,6036.7
Argentina,35.7,9.9,37.0,39.8,63.4,36.6,68.0,50.8,118.0,98.3,175.4,43.8,190.9,4039.3
Mauritius,35.6,9.7,39.1,29.9,50.0,50.0,nan,54.6,nan,nan,nan,nan,nan,nan
Bulgaria,35.4,10.1,36.7,36.7,36.1,63.9,58.1,62.8,143.8,82.8,100.2,29.2,92.9,2745.9
Chile,35.1,10.6,38.1,36.8,60.5,39.5,63.5,77.5,107.3,90.2,130.1,36.0,115.0,3187.3
Zimbabwe,34.7,8.5,33.9,33.2,60.7,39.3,nan,78.5,nan,nan,nan,nan,nan,nan
Turkey,34.7,12.8,35.6,34.1,41.2,58.8,71.2,64.3,131.1,93.3,188.2,43.7,210.8,5814.5
Rwanda,34.6,8.2,23.8,21.2,26.9,73.1,nan,nan,nan,nan,nan,nan,nan,nan
Honduras,34.6,10.2,39.0,31.5,72.0,28.0,nan,nan,nan,nan,nan,nan,nan,nan
Mexico,34.5,14.1,38.2,36.0,53.4,46.6,72.5,58.4,126.3,85.3,174.0,39.1,232.8,6818.5
Dominican Republic,34.3,9.8,36.2,33.3,60.5,39.5,58.3,73.2,nan,nan,nan,nan,nan,nan
Romania,34.0,9.6,33.9,35.7,32.3,67.7,56.5,58.7,142.2,76.2,124.1,33.4,131.0,3624.9
Cambodia,33.9,9.4,40.9,24.4,51.3,48.7,50.7,77.7,nan,nan,nan,nan,nan,nan
Zambia,33.8,9.8,29.0,22.1,45.6,54.4,nan,nan,nan,nan,nan,nan,nan,nan
Thailand,33.7,11.9,40.5,21.4,37.3,62.7,77.5,75.7,106.2,69.4,170.5,38.4,222.7,6826.4
Sri Lanka,33.5,6.3,49.9,23.3,42.1,57.9,71.4,57.9,81.1,59.1,258.4,54.5,359.2,7247.2
Fiji,32.0,15.6,40.8,30.4,56.6,43.4,nan,nan,nan,nan,nan,nan,nan,nan
Tanzania,31.8,8.8,27.1,22.0,53.5,46.5,nan,62.5,nan,nan,nan,nan,nan,nan
Bosnia And Herzegovina,31.6,6.1,32.9,24.1,41.7,58.3,55.6,59.7,134.8,80.5,90.3,26.0,95.3,2434.6
Moldova,30.8,12.6,29.5,27.2,44.3,55.7,nan,61.3,nan,nan,nan,nan,nan,nan
China,30.7,11.6,34.2,21.8,24.0,76.0,68.7,77.3,121.4,79.2,146.7,38.7,171.9,3514.9
Ghana,30.6,12.1,33.3,30.1,45.4,54.6,57.4,86.9,nan,nan,nan,nan,nan,nan
Mongolia,30.6,14.3,38.6,24.2,52.1,47.9,nan,87.8,nan,nan,nan,nan,nan,nan
Georgia,30.4,12.8,31.2,33.5,26.3,73.7,55.6,67.8,124.9,88.5,133.7,38.4,171.0,2283.8
North Macedonia,30.3,6.8,30.2,24.7,41.1,58.9,55.1,79.6,120.3,76.3,85.1,24.9,71.8,2185.8
Ecuador,30.0,8.0,33.2,27.1,62.5,37.5,77.1,59.0,128.5,98.7,152.4,36.6,159.4,5573.5
South Africa,30.0,11.1,27.5,29.3,74.7,25.3,63.8,56.6,152.4,95.3,186.5,38.6,238.7,9484.0
Malaysia,29.7,8.1,37.3,22.1,48.9,51.1,70.3,61.0,135.8,56.6,170.2,37.3,189.0,7814.5
Azerbaijan,29.5,9.0,28.3,33.1,31.8,68.2,48.3,72.7,113.5,91.4,162.1,40.6,198.1,4225.8
Peru,29.4,9.2,32.4,25.3,67.1,32.9,56.3,82.4,86.0,97.7,225.1,49.8,268.0,6425.8
Namibia,29.3,11.4,31.3,28.9,63.5,36.5,nan,nan,nan,nan,nan,nan,nan,nan
Philippines,28.8,6.9,34.3,19.0,43.1,56.9,67.3,72.4,96.9,61.2,177.9,41.3,229.1,5859.9
Kenya,28.2,7.6,30.2,25.0,56.0,44.0,62.0,69.0,101.7,99.8,235.7,50.6,269.3,7473.2
Morocco,27.2,7.1,28.8,22.2,47.8,52.2,46.8,68.7,110.8,85.2,130.8,35.2,138.4,3530.3
Iraq,26.9,7.3,27.9,22.9,43.1,56.9,45.9,71.5,nan,nan,nan,nan,nan,nan
Vietnam,26.6,9.2,32.1,16.8,40.8,59.2,61.3,84.2,95.8,71.2,109.4,29.7,120.9,3479.0
Kazakhstan,26.6,10.5,27.4,28.0,45.2,54.8,60.7,73.2,106.8,39.8,134.9,35.5,142.6,3888.1
Nigeria,26.4,21.8,31.8,21.6,66.6,33.4,49.1,87.9,21.5,60.8,334.9,65.3,447.3,9261.8
Uganda,26.0,8.5,28.3,24.7,54.1,45.9,nan,nan,nan,nan,nan,nan,nan,nan
Colombia,26.0,8.1,27.7,22.9,60.9,39.1,68.6,62.5,108.8,98.4,199.9,47.0,210.9,5077.8
Kosovo (Disputed Territory),25.7,6.7,27.1,20.9,40.8,59.2,nan,nan,nan,nan,nan,nan,nan,nan
Brazil,25.6,7.2,25.9,22.5,64.5,35.5,59.1,52.9,117.9,97.4,170.4,40.4,204.2,5461.5
Tunisia,25.5,4.6,31.0,16.1,45.1,54.9,57.2,70.1,117.3,93.2,131.7,33.4,126.9,4629.4
Kyrgyzstan,25.4,10.8,28.0,21.4,54.3,45.7,nan,nan,nan,nan,nan,nan,nan,nan
Bolivia,25.2,8.3,25.9,22.4,65.0,35.0,nan,71.9,nan,nan,nan,nan,nan,nan
Belarus,25.0,8.7,24.7,27.5,49.8,50.2,48.5,44.9,127.5,64.4,112.0,31.2,95.9,3346.5
Indonesia,24.6,7.7,32.5,15.2,46.0,54.0,60.9,68.0,102.4,63.8,191.4,42.8,234.6,6879.7
Ukraine,24.6,7.8,25.2,21.9,47.0,53.0,55.9,62.1,115.0,70.7,144.7,37.9,135.4,3893.4
Algeria,24.5,3.4,33.2,14.5,52.6,47.4,54.5,63.9,nan,nan,nan,nan,nan,nan
Uzbekistan,24.2,12.0,26.6,20.8,27.9,72.1,nan,54.0,nan,nan,nan,nan,nan,nan
Iran,23.6,8.5,20.8,16.9,50.5,49.5,52.8,75.2,85.6,71.0,212.0,46.7,232.2,7057.8
Syria,23.3,3.5,24.5,17.8,68.1,31.9,nan,74.9,nan,nan,nan,nan,nan,nan
Paraguay,23.0,8.6,22.7,19.8,59.8,40.2,nan,nan,nan,nan,nan,nan,nan,nan
Nepal,23.0,3.0,24.0,18.7,36.7,63.3,57.7,84.0,nan,nan,nan,nan,nan,nan
Russia,22.3,7.5,21.8,21.8,38.7,61.3,61.5,59.0,116.6,47.4,173.7,43.3,181.9,4158.5
Bangladesh,20.9,2.4,25.2,15.4,61.6,38.4,42.2,85.4,73.9,71.3,257.3,57.1,320.8,4955.2
Madagascar,20.7,4.5,21.6,14.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Afghanistan,19.9,2.0,17.3,14.3,75.1,24.9,nan,84.4,nan,nan,nan,nan,nan,nan
India,19.5,5.0,22.5,16.6,44.3,55.7,65.5,72.9,124.0,63.3,204.6,46.5,244.4,5997.4
Egypt,19.0,3.5,19.7,18.2,47.3,52.7,47.3,82.7,85.3,92.0,228.7,48.0,280.1,8548.1
Libya,18.6,3.9,22.8,13.9,56.4,43.6,nan,nan,nan,nan,nan,nan,nan,nan
Pakistan,17.8,2.9,17.2,15.0,43.7,56.3,59.3,73.3,104.2,71.9,162.2,38.0,195.2,5927.8
Haiti,nan,nan,nan,nan,78.9,21.1,nan,nan,nan,nan,nan,nan,nan,nan
Guyana,nan,nan,nan,nan,66.3,33.7,nan,nan,nan,nan,nan,nan,nan,nan
Angola,nan,nan,nan,nan,66.3,33.7,nan,nan,nan,nan,nan,nan,nan,nan
North Korea,nan,nan,nan,nan,54.1,45.9,nan,nan,nan,nan,nan,nan,nan,nan
Myanmar,nan,nan,nan,nan,50.9,49.1,nan,89.8,nan,nan,nan,nan,nan,nan
Nicaragua,nan,nan,nan,nan,50.8,49.2,nan,nan,nan,nan,nan,nan,nan,nan
Sudan,nan,nan,nan,nan,45.5,54.5,nan,nan,nan,nan,nan,nan,nan,nan
Cayman Islands,nan,nan,nan,nan,30.8,69.2,nan,nan,nan,nan,nan,nan,nan,nan
Monaco,nan,nan,nan,nan,23.3,76.7,nan,78.2,nan,nan,nan,nan,nan,nan
Isle Of Man,nan,nan,nan,nan,21.0,79.0,nan,nan,nan,nan,nan,nan,nan,nan
Andorra,nan,nan,nan,nan,15.3,84.7,nan,nan,nan,nan,nan,nan,nan,nan
